country,confirmed,death,population
Afghanistan,38520,1418,38.041754
Albania,10553,321,2.854191
Algeria,46938,1571,43.053054
Andorra,1261,53,0.077142
Angola,3033,124,31.825295
Antigua and Barbuda,95,3,0.097118
Argentina,500034,10405,44.938712
Armenia,44953,903,2.957731
Australia,26465,781,25.364307
Austria,30081,747,8.877067
Azerbaijan,37557,552,10.023318
Bahamas,2585,59,0.389482
Bahrain,56778,202,1.641172
Bangladesh,329251,4552,163.046161
Barbados,180,7,0.287025
Belarus,73208,721,9.466856
Belgium,89141,9912,11.484055
Belize,1361,16,0.390353
Benin,2213,40,11.801151
Bhutan,234,0,0.763092
Bolivia,122308,7097,11.5131
Bosnia and Herzegovina,21961,669,3.301
Botswana,2126,9,2.303697
Brazil,4162073,127464,211.049527
Brunei,145,3,0.433285
Bulgaria,17313,692,6.975761
Burkina Faso,1466,56,20.321378
Myanmar,1807,12,54.04542
Burundi,466,1,11.53058
Cabo Verde,4400,42,0.549935
Cambodia,274,0,16.486542
Cameroon,19848,415,25.87638
Canada,135757,9203,37.589262
Central African Republic,4735,62,4.745185
Chad,1045,79,15.946876
Chile,425541,11682,18.952038
China,90087,4733,1397.715
Colombia,671533,21611,50.339443
Comoros,456,7,0.850886
"Congo, Rep.",4891,114,5.380508
"Congo, Dem. Rep.",10292,260,86.790567
Costa Rica,49897,531,5.047561
Cote d'Ivoire,18778,119,25.716544
Croatia,12285,203,4.0675
Cuba,4377,104,11.333483
Cyprus,1511,22,1.198575
Czech Republic,29877,441,10.669709
Denmark,18784,628,5.818553
Djibouti,5388,61,0.97356
Dominica,22,0,0.071808
Dominican Republic,100131,1889,10.738958
Ecuador,110757,10627,17.373662
Egypt,100228,5560,100.388073
El Salvador,26511,765,6.453553
Equatorial Guinea,4985,83,1.355986
Estonia,2564,64,1.32659
Eswatini,4904,96,1.14813
Ethiopia,60784,949,112.07873
Fiji,31,2,0.889953
Finland,8337,336,5.520314
France,373718,30770,67.059887
Gabon,8608,53,2.172579
Gambia,3275,99,2.347706
Georgia,1729,19,3.720382
Germany,254957,9336,83.132799
Ghana,45012,283,30.417856
Greece,11832,290,10.716322
Grenada,24,0,0.112003
Guatemala,78721,2890,16.604026
Guinea,9848,63,12.771246
Guinea-Bissau,2245,38,1.920922
Guyana,1613,48,0.782766
Haiti,8376,214,11.263077
Honduras,65218,2034,9.746117
Hungary,9304,626,9.769949
Iceland,2150,10,0.361313
India,4370128,73890,1366.417754
Indonesia,200035,8230,270.625568
Iran,391112,22542,82.913906
Iraq,269578,7657,39.309783
Ireland,30080,1778,4.941444
Israel,137565,1040,9.0533
Italy,280153,35563,60.297396
Jamaica,3323,36,2.948279
Japan,72724,1398,126.264931
Jordan,2581,19,10.101694
Kazakhstan,106498,1634,18.51393
Kenya,35356,599,52.573973
"Korea, Rep.",21588,344,51.709098
Kuwait,91244,548,4.207083
Kyrgyz Republic,44487,1060,6.4569
Laos,22,0,7.169455
Latvia,1432,35,1.912789
Lebanon,21324,207,6.855713
Lesotho,1148,31,2.125268
Liberia,1311,82,4.937374
Libya,19583,314,6.777452
Liechtenstein,107,1,0.038019
Lithuania,3131,86,2.786844
Luxembourg,6974,124,0.619896
Madagascar,15435,206,26.969307
Malawi,5630,176,18.628747
Malaysia,9559,128,31.949777
Maldives,8741,29,0.530953
Mali,2882,127,19.658031
Malta,2099,14,0.502653
Mauritania,7165,160,4.525696
Mauritius,361,10,1.265711
Mexico,642860,68484,127.575529
Moldova,40556,1087,2.657637
Monaco,156,1,0.038964
Mongolia,310,0,3.225167
Montenegro,5875,112,0.622137
Morocco,75721,1427,36.471769
Mozambique,4647,28,30.366036
Namibia,8928,91,2.49453
Nepal,48138,306,28.60871
Netherlands,79792,6279,17.33285
New Zealand,1788,24,4.917
Nicaragua,4818,144,6.545502
Niger,1178,69,23.310715
Nigeria,55456,1067,200.963599
North Macedonia,15226,631,2.083459
Norway,11623,264,5.347896
Oman,87590,742,4.974986
Pakistan,299659,6359,216.565318
Panama,98407,2107,4.246439
Papua New Guinea,503,5,8.776109
Paraguay,24214,463,7.044636
Peru,691575,29976,32.510453
Philippines,241987,3916,108.116615
Poland,71526,2136,37.970874
Portugal,60895,1846,10.269417
Qatar,120579,205,2.832067
Romania,97033,3967,19.356544
Russia,1032354,17939,144.373535
Rwanda,4439,20,12.62695
St. Kitts and Nevis,17,0,0.052823
St. Lucia,26,0,0.18279
St. Vincent and the Grenadines,62,0,0.110589
San Marino,716,42,0.03386
Sao Tome and Principe,898,15,0.215056
Saudi Arabia,322237,4137,34.268528
Senegal,14044,292,16.296364
Serbia,31994,727,6.944975
Seychelles,137,0,0.097625
Sierra Leone,2064,72,7.813215
Singapore,57091,27,5.703569
Slovak Republic,4727,37,5.454073
Slovenia,3232,135,2.087946
Somalia,3371,97,15.442905
South Africa,640441,15086,58.55827
South Sudan,2552,49,11.062113
Spain,534513,29594,47.076781
Sri Lanka,3140,12,21.803
Sudan,13437,833,42.813238
Suriname,4419,91,0.581372
Sweden,85707,5838,10.285453
Switzerland,44837,2018,8.574832
Syria,3289,140,17.070135
Tajikistan,8860,70,9.321018
Tanzania,509,21,58.005463
Thailand,3447,58,69.625582
Timor-Leste,27,0,1.293119
Togo,1513,34,8.082366
Trinidad and Tobago,2391,39,1.394973
Tunisia,5417,96,11.694719
Turkey,283270,6782,83.429615
Uganda,3900,46,44.269594
Ukraine,143914,2988,44.385155
United Arab Emirates,75098,391,9.770529
United Kingdom,354932,41675,66.834405
Uruguay,1712,45,3.461734
United States,6330007,189660,328.239523
Uzbekistan,44281,358,33.58065
Venezuela,55563,444,28.515829
Vietnam,1054,35,96.462106
West Bank and Gaza,27363,190,4.685306
Yemen,1994,576,29.161922
Zambia,12952,297,17.86103
Zimbabwe,7388,218,14.645468
